title,rating,liked,disliked,text,predicted_categories
Effective. Easy. Fast.,5,"Not unlike setting up a new profile for a personal account, e.g. LinkedIn or Facebook, standing up a profile for your company is easy. There's a short checklist of items to ""complete"" your profile, et voila - you are done! 



I must also say the Account Executive with whom I worked on understanding this market and then ultimately purchasing the software was incredibly helpful and consultative. We just finished our implementation phase - which is funny given how easy it was to set up Implementations seems like an above-and-beyond service - and discovered we get to continue to work with our Account Executive. Happy about that.","Nothing to speak of here, despite looking for areas of potential concern!","Effective. Easy. Fast. Not unlike setting up a new profile for a personal account, e.g. LinkedIn or Facebook, standing up a profile for your company is easy. There's a short checklist of items to ""complete"" your profile, et voila - you are done! 



I must also say the Account Executive with whom I worked on understanding this market and then ultimately purchasing the software was incredibly helpful and consultative. We just finished our implementation phase - which is funny given how easy it was to set up Implementations seems like an above-and-beyond service - and discovered we get to continue to work with our Account Executive. Happy about that. Nothing to speak of here, despite looking for areas of potential concern!",['User Experience and Ease of Setup']
Definitive review site for our market - helps level the playing field,4.5,Verification of reviewers as professionals and users is very important to the credibility of the results.,I'd like to be able to meter out the invitations sent to users over 4-6 months instead of a large set all at once.,Definitive review site for our market - helps level the playing field Verification of reviewers as professionals and users is very important to the credibility of the results. I'd like to be able to meter out the invitations sent to users over 4-6 months instead of a large set all at once.,"['User Experience', 'Customer Satisfaction']"
Great review collection experience,5,"G2Crowd was incredibly accommodating of our just-in-time approach to planning and schedules; creative and willing to go the extra mile; and the people who staffed the event, Bobbi and Brittany, were the best ever.  It was an unexpected pleasure and success to work with two such energetic professional pleasant effective people - can't say enough about them!!!",All I have to say is that there's nothing to dislike.,"Great review collection experience G2Crowd was incredibly accommodating of our just-in-time approach to planning and schedules; creative and willing to go the extra mile; and the people who staffed the event, Bobbi and Brittany, were the best ever.  It was an unexpected pleasure and success to work with two such energetic professional pleasant effective people - can't say enough about them!!! All I have to say is that there's nothing to dislike.","['Customer Satisfaction', 'Support Quality']"
G2 Crowd Review Platform,4.5,"G2 Crowd is a great platform to showcase your company, and encourage your customers to write reviews.",No specific things that I don't like about G2.,"G2 Crowd Review Platform G2 Crowd is a great platform to showcase your company, and encourage your customers to write reviews. No specific things that I don't like about G2.","['User Experience', 'Customer Satisfaction']"
G2 = Great Stuff,5,"G2Crowd is increasingly becoming a crucial part of our overall brand awareness and recognition of our empirical value in the industry. It’s critical for us to get detailed, first-hand, independent feedback from our customers that can be utilized by prospects and our internal sales and product teams as well.  



The vendor portal is very user friendly, and our account manager, George, has been helpful every step of the way. We recently launched a new review campaign, called G2 Gives, and we are excited by the idea of incentivizing customers and reviews with charity donations. 



Overall, G2 Crowd has already brought great value to our company and we are looking to expand the use of it over time.","There are so many useful features – there is not much to dislike.  And I think the vision and roadmap can take G2 to even broader value for us.  I guess the most difficult part is change management on our side – i.e. how do we get our teams to more habitually use the G2 features and information in all of our internal sales, marketing, support, and product processes.","G2 = Great Stuff G2Crowd is increasingly becoming a crucial part of our overall brand awareness and recognition of our empirical value in the industry. It’s critical for us to get detailed, first-hand, independent feedback from our customers that can be utilized by prospects and our internal sales and product teams as well.  



The vendor portal is very user friendly, and our account manager, George, has been helpful every step of the way. We recently launched a new review campaign, called G2 Gives, and we are excited by the idea of incentivizing customers and reviews with charity donations. 



Overall, G2 Crowd has already brought great value to our company and we are looking to expand the use of it over time. There are so many useful features – there is not much to dislike.  And I think the vision and roadmap can take G2 to even broader value for us.  I guess the most difficult part is change management on our side – i.e. how do we get our teams to more habitually use the G2 features and information in all of our internal sales, marketing, support, and product processes.",['User Experience and Customer Satisfaction']
Higher quality leads with specific analysis on the competition,5,G2 is an ideal fit for fast-growing companies looking to increase market share with higher quality leads and better business intelligence.,Ability to target companies by annual revenue.,Higher quality leads with specific analysis on the competition G2 is an ideal fit for fast-growing companies looking to increase market share with higher quality leads and better business intelligence. Ability to target companies by annual revenue.,['- Comparative Analysis\n- Product Benefits']
Great Vendor,5,The team is very helpful whenever we need anything. They are on top of everything every step of the way.,Pricing seemed a bit high at first as we were unsure what that money invested was going to get us. But it is clear that they are experienced and we are now hoping to see a nice ROI from it.,Great Vendor The team is very helpful whenever we need anything. They are on top of everything every step of the way. Pricing seemed a bit high at first as we were unsure what that money invested was going to get us. But it is clear that they are experienced and we are now hoping to see a nice ROI from it.,['Customer Satisfaction and Pricing']
Smart Team w/ great advice,5,They knew which features were most important to us and focused time on those,Nothing. They reminded me of what I needed to be doing without being annoying.,Smart Team w/ great advice They knew which features were most important to us and focused time on those Nothing. They reminded me of what I needed to be doing without being annoying.,"['Customer Satisfaction', 'Support Quality']"
"Good platform, great support, not adapted for every services.",3,The support that was given to us and the intuitive nature of the product.,The effectiveness for services. The areas of the profile are not for services...,"Good platform, great support, not adapted for every services. The support that was given to us and the intuitive nature of the product. The effectiveness for services. The areas of the profile are not for services...",['- User Experience\n- Support Quality']
G2 Crowd Marketing Solutions,4,"G2 Crowd helps our team target customers who are in the market for solutions like Guru

Intent Data is helping my sales team become more confident

Salesforce plug in looks great

Customer Success team is A+

Product Roadmap is promising",There are some manual things like Account Mapping and implementation that could be very time intensive on your sales op and/or end user. G2 is working on ways to improve work flows. Think about what playbooks to run with the data G2 can provide.,"G2 Crowd Marketing Solutions G2 Crowd helps our team target customers who are in the market for solutions like Guru

Intent Data is helping my sales team become more confident

Salesforce plug in looks great

Customer Success team is A+

Product Roadmap is promising There are some manual things like Account Mapping and implementation that could be very time intensive on your sales op and/or end user. G2 is working on ways to improve work flows. Think about what playbooks to run with the data G2 can provide.",['Customer Satisfaction and Integration Capabilities']
I Love you guys!,5,"This is a real website, a real company, with real rewards. They are looking out for you and for the clients! The fact that they are trying to promote and put other companies with all kinds of software and products with honest reviews from us its awesome!","Nothing really, they aren't even invasive. Pretty chill!","I Love you guys! This is a real website, a real company, with real rewards. They are looking out for you and for the clients! The fact that they are trying to promote and put other companies with all kinds of software and products with honest reviews from us its awesome! Nothing really, they aren't even invasive. Pretty chill!",['Customer Satisfaction and User Experience']
"Digital River MyCommerce Product Rating, Client Advocacy & Brand Awareness",4,The support the G2 Crowd team has been incredible. Marty is so responsive and had really pushed us to adopt the proven strategies that have worked very well for other G2 Crowd clients. He's been right about everything and we're seeing very quick results and dramatic improvements to our grid ranking and success in obtain new customer reviews.  We are a global business so it's important to us that G2 Crowd is a global product review site -- we hear from prospects and global team members how important this platform is from across various regions in the ecommerce/subs/payment processing technology buying process.  Looking forward to expanding our efforts and further investment in this marketing channel.,"Our initial performance goals were around lead generation and brand visibility on the leader grids. Quite frankly, we weren't seeing any leads or any placement on the grid until we were able to obtain a lot of positive customer reviews, unfortunately 11 months into the annual contract. Now we have started to see some regular activity and great progress on the effectiveness.  The intent program is very expensive and it will be difficult to justify our ROI given our relatively low cost of acquisition needed for our ROI.","Digital River MyCommerce Product Rating, Client Advocacy & Brand Awareness The support the G2 Crowd team has been incredible. Marty is so responsive and had really pushed us to adopt the proven strategies that have worked very well for other G2 Crowd clients. He's been right about everything and we're seeing very quick results and dramatic improvements to our grid ranking and success in obtain new customer reviews.  We are a global business so it's important to us that G2 Crowd is a global product review site -- we hear from prospects and global team members how important this platform is from across various regions in the ecommerce/subs/payment processing technology buying process.  Looking forward to expanding our efforts and further investment in this marketing channel. Our initial performance goals were around lead generation and brand visibility on the leader grids. Quite frankly, we weren't seeing any leads or any placement on the grid until we were able to obtain a lot of positive customer reviews, unfortunately 11 months into the annual contract. Now we have started to see some regular activity and great progress on the effectiveness.  The intent program is very expensive and it will be difficult to justify our ROI given our relatively low cost of acquisition needed for our ROI.",['Customer Satisfaction and Support Quality']
"Strategic part of go to market plan, easy to set up, great account teams, and valuable grid reports",4.5,"Setting up our company page was very straight forward with a robust list of capabilities, categories and detail to add.  At minimum these profile pages should be set up.



After being able to build up reviews in a relatively short period of time we then turned to utilizing the Grid Reports to help drive engagement/leads as well as establishing our place in the market. 



The Grid Reports were our #2 asset driving engagement and lead gen in our LinkedIn advertising program.","The only area we would love to see some additional work, but I also know these updates are coming, are more API integrations with other marketing/display/social platforms.","Strategic part of go to market plan, easy to set up, great account teams, and valuable grid reports Setting up our company page was very straight forward with a robust list of capabilities, categories and detail to add.  At minimum these profile pages should be set up.



After being able to build up reviews in a relatively short period of time we then turned to utilizing the Grid Reports to help drive engagement/leads as well as establishing our place in the market. 



The Grid Reports were our #2 asset driving engagement and lead gen in our LinkedIn advertising program. The only area we would love to see some additional work, but I also know these updates are coming, are more API integrations with other marketing/display/social platforms.",['1. Ease of Setup\n2. Comparative Analysis']
Excellent product with great analytics,4.5,"1. Buyer Intent Data - The detailed analytics with facilities to filter & sort companies by their employee size, location and views helps a lot to analyze the prospect's behavior.

2. The G2 Crowd on-boarding was seamless.

3. The platform is simple and user friendly.",Nothing at this stage - Its a great product.,"Excellent product with great analytics 1. Buyer Intent Data - The detailed analytics with facilities to filter & sort companies by their employee size, location and views helps a lot to analyze the prospect's behavior.

2. The G2 Crowd on-boarding was seamless.

3. The platform is simple and user friendly. Nothing at this stage - Its a great product.",['User Experience and Data Analysis Tools']
Great Service Throughout the Onboarding Process,4.5,A smooth onboarding process by knowledgeable and friendly people. They were always available to help clarify some of the missing information we needed before upgrading.,"Nothing major, If I would have to choose one thing, I would say the # of people I had to deal with from sales to onboarding process.","Great Service Throughout the Onboarding Process A smooth onboarding process by knowledgeable and friendly people. They were always available to help clarify some of the missing information we needed before upgrading. Nothing major, If I would have to choose one thing, I would say the # of people I had to deal with from sales to onboarding process.",['Customer Satisfaction and Support Quality']
New to G2 Crowd and have had a great experience so far,4.5,The onboarding process one of the best I've experienced for a marketing solution. Our account manager and implementation specialist have been great and very responsive to questions over the past few months. We've also seen excellent results from our review campaign.,"It can take a few tries to get used to all of the premium account features, but any questions we had were answered quickly.","New to G2 Crowd and have had a great experience so far The onboarding process one of the best I've experienced for a marketing solution. Our account manager and implementation specialist have been great and very responsive to questions over the past few months. We've also seen excellent results from our review campaign. It can take a few tries to get used to all of the premium account features, but any questions we had were answered quickly.","['User Experience', 'Support Quality']"
Solid review platform that's manageable and easy to implement,4.5,"Everything is straightforward and made as easy as possible with G2 Crowd. You provide the details about your product, they even help you source reviews from your customers to help build your profile. Their team is responsive and engaged in helping you achieve success as you define it for your organization.",The login process can be tricky at times as you have to get another email to login to the account.,"Solid review platform that's manageable and easy to implement Everything is straightforward and made as easy as possible with G2 Crowd. You provide the details about your product, they even help you source reviews from your customers to help build your profile. Their team is responsive and engaged in helping you achieve success as you define it for your organization. The login process can be tricky at times as you have to get another email to login to the account.",['User Experience and Support Quality']
Easy to use + great team,5,"We work with a very responsive, helpful team that consistently delivers on deadlines (even when we don't always return the favor) and guides us through efforts to gather reviews. Shout out to Andrew for his jovial persona on calls- he made G2Crowd my favorite vendor to check in with.","As a demand-gen marketer with lead goals to hit, we were hoping to see more direct leads coming from our G2Crowd profile. While I don't doubt the broader value of the platform (and the exposed visitor data gives very clear evidence of a role it's playing in the buying process), it's tougher to assign value to that in a ROI focused environment at a large corp with established sales systems.","Easy to use + great team We work with a very responsive, helpful team that consistently delivers on deadlines (even when we don't always return the favor) and guides us through efforts to gather reviews. Shout out to Andrew for his jovial persona on calls- he made G2Crowd my favorite vendor to check in with. As a demand-gen marketer with lead goals to hit, we were hoping to see more direct leads coming from our G2Crowd profile. While I don't doubt the broader value of the platform (and the exposed visitor data gives very clear evidence of a role it's playing in the buying process), it's tougher to assign value to that in a ROI focused environment at a large corp with established sales systems.","['Customer Satisfaction', 'Support Quality']"
Easy. Fast. and increases brand awareness.,5,Loved hearing what our users think about our product. Also a great resource to share with prospects. The G2 Crowd on-boarding team was great! They were very responsive and ready to help share best practices.,"Not much. There are some things that aren't self service and we needed to go through support for. For example, the company bio (under the logo) was outdated and we couldn't change that ourselves.","Easy. Fast. and increases brand awareness. Loved hearing what our users think about our product. Also a great resource to share with prospects. The G2 Crowd on-boarding team was great! They were very responsive and ready to help share best practices. Not much. There are some things that aren't self service and we needed to go through support for. For example, the company bio (under the logo) was outdated and we couldn't change that ourselves.",['User Experience and Support Quality']
G2Crowd has done wonders for my Sales Career,4.5,One of my favorite parts about G2Crowd is the customer reviews. I send out customer reviews all the time during prospecting and booked a ton of meetings with industry proof. I also love that G2Crowd provides accurate and up to date proof that the software I'm selling is legit and used by so many. All the realtime feedback makes my job easier during the outbound prospecting grind.,There is nothing I don't like about G2Crowd!,G2Crowd has done wonders for my Sales Career One of my favorite parts about G2Crowd is the customer reviews. I send out customer reviews all the time during prospecting and booked a ton of meetings with industry proof. I also love that G2Crowd provides accurate and up to date proof that the software I'm selling is legit and used by so many. All the realtime feedback makes my job easier during the outbound prospecting grind. There is nothing I don't like about G2Crowd!,['Customer Satisfaction and Product Benefits']
Ultimate Name Drop,5,I direct prospects everyday to G2 Crowd.  The ratings and reviews about various software companies are fantastic and give great insight into how they stack up against one another.  I would recommend G2 Crowd to anyone who wants an honest and accurate way to get a closer look at a potential product.,itsperfectitsperfectitsperfectitsperfect,Ultimate Name Drop I direct prospects everyday to G2 Crowd.  The ratings and reviews about various software companies are fantastic and give great insight into how they stack up against one another.  I would recommend G2 Crowd to anyone who wants an honest and accurate way to get a closer look at a potential product. itsperfectitsperfectitsperfectitsperfect,['User Experience and Comparative Analysis']
Valuable Tool for Supporting Informed Buying Decisions,4,The validation of the reviews and the structure of the data capture provides informed decisions.,The weighting provided to marketshare obscures the raw user data.,Valuable Tool for Supporting Informed Buying Decisions The validation of the reviews and the structure of the data capture provides informed decisions. The weighting provided to marketshare obscures the raw user data.,"['User Experience', 'Comparative Analysis']"
Valuable Tool to Support Sales Efforts,4.5,"We have found the ""Track Your Prospects"" and ""Buyer Intent"" features to be particularly useful for our outbound sales efforts.



Also G2 Crowd handling the gift card fulfillment in an automated way, has made our life a lot easier.



Our implementation manager, Bliss was also very easy to work with and very responsive!",Nothing major comes to mind.,"Valuable Tool to Support Sales Efforts We have found the ""Track Your Prospects"" and ""Buyer Intent"" features to be particularly useful for our outbound sales efforts.



Also G2 Crowd handling the gift card fulfillment in an automated way, has made our life a lot easier.



Our implementation manager, Bliss was also very easy to work with and very responsive! Nothing major comes to mind.","['Customer Satisfaction', 'Support Quality']"
G2 Crowd has opened the doors for Micro Merchant Systems Google top ranking & generating reviews.,5,Giving G2 Crowd our customer's email addresses and having them do an email blast asking them to submit a submit a review for an Amazon gift card,"Buyer Intent, too much money for no names, email address","G2 Crowd has opened the doors for Micro Merchant Systems Google top ranking & generating reviews. Giving G2 Crowd our customer's email addresses and having them do an email blast asking them to submit a submit a review for an Amazon gift card Buyer Intent, too much money for no names, email address","['Customer Satisfaction', 'Product Benefits']"
I like the timeliness,4.5,nan,nan,I like the timeliness nan nan,['- User Experience\n- Customer Satisfaction']
Amazing event support!,5,I had a wonderful experience working with the G2 events team to gather reviews at one of our recent client events. We did the work to gather reviews ourselves but they sent us all the materials and facilitated everything smoothly. Kevin and the team were phenomenal - they shipped computers to the event as well as a beautiful sign with our branding. They helped us make everything a success! I would highly recommend!,"Honestly, nothing bad to say at this time about the events team! It was a bit frustrating that the G2 review approvers rejected some reviews that were given by valid users and clients at the event for reasons that I do not understand but that is a different function.","Amazing event support! I had a wonderful experience working with the G2 events team to gather reviews at one of our recent client events. We did the work to gather reviews ourselves but they sent us all the materials and facilitated everything smoothly. Kevin and the team were phenomenal - they shipped computers to the event as well as a beautiful sign with our branding. They helped us make everything a success! I would highly recommend! Honestly, nothing bad to say at this time about the events team! It was a bit frustrating that the G2 review approvers rejected some reviews that were given by valid users and clients at the event for reasons that I do not understand but that is a different function.",['- Support Quality\n- Customer Satisfaction']
"G2Crowd is democratizing trust and transparency for b2b buyers, and empowering sellers",4.5,"Nothing is more credible than actual user reviews, and g2c has become the destination for b2b software buyers to both educate themselves on categories (amidst lots of marketplace confusion) and understand which technology products are most likely to meet their needs.



As a seller, I love that i have such an incredible resource to direct my prospects to, and some of G2C's premium (paid) services are very unique and helpful. My favorites are:

-G2 being a lead source, in it of its self

-the buyer intent data (which organizations are passively or actively exploring our services) piped right into our Salesforce account records/reporting which help us activate conversations we might otherwise not

-the ability to create personalized landing pages of curated customer reviews for prospects, based on what concerns or use cases they have been outspoken about (adoption, implementation, onboarding etc.)","For the review landing pages, I'd like to be able to configure the order in which reviews show. More customization options, and ability to see views on the pages would be well received.","G2Crowd is democratizing trust and transparency for b2b buyers, and empowering sellers Nothing is more credible than actual user reviews, and g2c has become the destination for b2b software buyers to both educate themselves on categories (amidst lots of marketplace confusion) and understand which technology products are most likely to meet their needs.



As a seller, I love that i have such an incredible resource to direct my prospects to, and some of G2C's premium (paid) services are very unique and helpful. My favorites are:

-G2 being a lead source, in it of its self

-the buyer intent data (which organizations are passively or actively exploring our services) piped right into our Salesforce account records/reporting which help us activate conversations we might otherwise not

-the ability to create personalized landing pages of curated customer reviews for prospects, based on what concerns or use cases they have been outspoken about (adoption, implementation, onboarding etc.) For the review landing pages, I'd like to be able to configure the order in which reviews show. More customization options, and ability to see views on the pages would be well received.",['- Customer Satisfaction\n- Product Benefits']
The Premier Platform for Software Reviews,5,"Easy UI, exceptional account management, and great lead data. Also, the platform keeps improving!",Some of the services can be a bit on the pricey side.,"The Premier Platform for Software Reviews Easy UI, exceptional account management, and great lead data. Also, the platform keeps improving! Some of the services can be a bit on the pricey side.",['User Experience and Pricing']
Consider this an investment in your customer success process,5,nan,nan,Consider this an investment in your customer success process nan nan,['- Customer Satisfaction\n- Support Quality']
Using G2crowd for 1 year now,3.5,#NAME?,Overall a great platform with great people behind it.,"Using G2crowd for 1 year now - Buyer intent data: Having the ability to see who is currently viewing your page, comparing you with which other solution is a great way to find out momentum.

- Video reviews

- The grid: The better positioned on the grid, the more leads you will get. It is surprisingly how companies are nowadays shortlisting suppliers solely based on the grid. Overall a great platform with great people behind it.",['Customer Satisfaction and Comparative Analysis']
"One of the best features is the ""verified product review""",4.5,nan,nan,"One of the best features is the ""verified product review"" nan nan","['User Experience', 'Product Benefits']"
Very good structured on-boarding process,4,The on-boarding process is quite time consuming but due to a really step-by-step on-boarding process very easy. We received help and answers to our questions very fast and never got stuck without help.,The backend interface is a little bit old school  and sometimes not very intuitive. We would also like to have more possibilities for rules based for the customer intent emails.,Very good structured on-boarding process The on-boarding process is quite time consuming but due to a really step-by-step on-boarding process very easy. We received help and answers to our questions very fast and never got stuck without help. The backend interface is a little bit old school  and sometimes not very intuitive. We would also like to have more possibilities for rules based for the customer intent emails.,['User Experience and Support Quality']
A greater understanding of how potential buyers are behaving,5,"Buyer intent data: This gives a great view on what potential buyers are looking for, what is important to them, and if we are in their sights. If not, we can adjust. It gives us a clear picture of the overall market and our vertical. 



Being able to see who we are being compared to most often also gives our sales team another piece of information that they can bring into sales opportunities. 



Review widgets: Highlighting review scores and reviews gives us an edge. We have spent years building a great reputation - and now it's easy for our customers to tell the world!



Our point of contact in G2 has changed a couple of times. That can spell disaster, but so far each one has been as good as the last and the transition has been seamless.","Some vendors shouldn't be in our category, the research team needs to look a little bit more closely.","A greater understanding of how potential buyers are behaving Buyer intent data: This gives a great view on what potential buyers are looking for, what is important to them, and if we are in their sights. If not, we can adjust. It gives us a clear picture of the overall market and our vertical. 



Being able to see who we are being compared to most often also gives our sales team another piece of information that they can bring into sales opportunities. 



Review widgets: Highlighting review scores and reviews gives us an edge. We have spent years building a great reputation - and now it's easy for our customers to tell the world!



Our point of contact in G2 has changed a couple of times. That can spell disaster, but so far each one has been as good as the last and the transition has been seamless. Some vendors shouldn't be in our category, the research team needs to look a little bit more closely.",['1. Comparative Analysis\n2. Customer Satisfaction']
Excellent onboarding process,4.5,We recently sign-up to G2 Crowd and have been extremely impressed with their onboarding process. Their team is well-organized and highly responsive. It's certainly made a very positive impression and has given us ideas for how we can improve our own onboarding process at Qarrot.,"So far, we're extremely satisfied with our entire G2 Crowd experience.","Excellent onboarding process We recently sign-up to G2 Crowd and have been extremely impressed with their onboarding process. Their team is well-organized and highly responsive. It's certainly made a very positive impression and has given us ideas for how we can improve our own onboarding process at Qarrot. So far, we're extremely satisfied with our entire G2 Crowd experience.","['User Experience', 'Customer Satisfaction']"
No One Collects More Trustworthy Reviews Than G2 Crowd! Easy to Implement and Use!,5,"We really enjoy the G2 Crowd Grid that displays ClockShark alongside other similar time tracking software. Not only is it easy to see how our position changes as we collect more reviews, but this Grid can be embedded in marketing pages to provide leads with a real-time grid view. 



We also really love working with the team at G2 Crowd. Danny took extreme care to understand our company needs and expectations, and even sent us a signed ""thank-you"" note after our first webinar. (Who does this? Uhm...Danny does!) Our implementation specialist Kelly slowly and meticulously explained how to get our listing set-up. She transformed a super daunting job into very easy subtasks, and weekly met with us to review our progress. It was like eating an elephant, one bite at a time...but with less mandible engagement. Ashley, our main point of contact at G2 Crowd, has overseen our entire G2 Crowd journey, and is quick to resolve any concerns we have. Like, greased lightning fast!","I have no complaints about the product, staff, or service at G2 Crowd. One observation is that G2 Crowd prizes quality reviews, and there can sometimes be a delay between review date and the day it posts to your account. Don't wig out: It's TOTALLY normal! They will carefully vet all reviews to make sure they are being submitted by actual software users. Fake news, fake reviews, Pokemon -- the team at G2 Crowd catches it all.","No One Collects More Trustworthy Reviews Than G2 Crowd! Easy to Implement and Use! We really enjoy the G2 Crowd Grid that displays ClockShark alongside other similar time tracking software. Not only is it easy to see how our position changes as we collect more reviews, but this Grid can be embedded in marketing pages to provide leads with a real-time grid view. 



We also really love working with the team at G2 Crowd. Danny took extreme care to understand our company needs and expectations, and even sent us a signed ""thank-you"" note after our first webinar. (Who does this? Uhm...Danny does!) Our implementation specialist Kelly slowly and meticulously explained how to get our listing set-up. She transformed a super daunting job into very easy subtasks, and weekly met with us to review our progress. It was like eating an elephant, one bite at a time...but with less mandible engagement. Ashley, our main point of contact at G2 Crowd, has overseen our entire G2 Crowd journey, and is quick to resolve any concerns we have. Like, greased lightning fast! I have no complaints about the product, staff, or service at G2 Crowd. One observation is that G2 Crowd prizes quality reviews, and there can sometimes be a delay between review date and the day it posts to your account. Don't wig out: It's TOTALLY normal! They will carefully vet all reviews to make sure they are being submitted by actual software users. Fake news, fake reviews, Pokemon -- the team at G2 Crowd catches it all.",['Customer Satisfaction and Ease of Setup']
"Great social proof, great support.",4,"In addition to helping us differentiate our products from our competitors, G2 Crowd provides authentic, trusted social proof for buyers researching products. If a consumer searches for reviews of our products, G2C is the first thing they see. The badges, Grid and reference pages are great for sales enablement. 



Our EAM and CSM are amazing and always quick to respond, jump on a call, or meet with our stakeholders to ensure we're getting the most out of our subscription. They're willing to do some leg work for us whenever needed (I ask a lot of questions and tend to be a bit of a squeaky wheel).","Sometimes the algorithm will prioritize reviews that are neither recent or the most helpful, because they're verified or lengthy, but doesn't take context into consideration.","Great social proof, great support. In addition to helping us differentiate our products from our competitors, G2 Crowd provides authentic, trusted social proof for buyers researching products. If a consumer searches for reviews of our products, G2C is the first thing they see. The badges, Grid and reference pages are great for sales enablement. 



Our EAM and CSM are amazing and always quick to respond, jump on a call, or meet with our stakeholders to ensure we're getting the most out of our subscription. They're willing to do some leg work for us whenever needed (I ask a lot of questions and tend to be a bit of a squeaky wheel). Sometimes the algorithm will prioritize reviews that are neither recent or the most helpful, because they're verified or lengthy, but doesn't take context into consideration.",['- Customer Satisfaction\n- Support Quality']
Easy onboarding,4,"There is constant communication during the onboarding process, so that when questions arise, they are answered and resolved quickly.","As someone being onboarded, there could be more clarity with the pricing and what you get with that pricing. Because of this, talks of up-selling happen from the beginning, which lends to confusion.","Easy onboarding There is constant communication during the onboarding process, so that when questions arise, they are answered and resolved quickly. As someone being onboarded, there could be more clarity with the pricing and what you get with that pricing. Because of this, talks of up-selling happen from the beginning, which lends to confusion.",['User Experience and Pricing']
#1 Customer Service and Expert in their space,5,"Everything from the sales process, to the on-boading and on-going customer support at G2 Crowd is on point! Kudos to Kristina for always going above and beyond in working with us. We are learning everyday on how to use G2 Crowd features to better improve our funnel and conversion.",Nothing that I dislike right now. The product has also come a long way compared to one year ago.,"#1 Customer Service and Expert in their space Everything from the sales process, to the on-boading and on-going customer support at G2 Crowd is on point! Kudos to Kristina for always going above and beyond in working with us. We are learning everyday on how to use G2 Crowd features to better improve our funnel and conversion. Nothing that I dislike right now. The product has also come a long way compared to one year ago.","['Customer Satisfaction', 'Support Quality']"
G2Crowd Buyer Intent Signals Created Pipeline for us,5,"Metadata has experienced phenomenal success with buyer intent data from G2Crowd. The way we operationalize the data is two ways:



1 - Outbound emailing particular personas within accounts visiting our page/category section, using the attributes provided by G2Crowd as a way to personalize the email.



2 - Execute account-based advertising campaigns (using metadata.io), targeting the right personas within those exact accounts with personalized content.



Within the first month of running these operations, metadata.io has generated a clear ROI for our investment that revived a lost opportunity into CLOSED WON opportunity, closed an additional new new deal (6-figure deal), and generated dozens of opt-in leads/conversions from those accounts visiting our category page, our competitors page or our own page on G2Crowd. All from the first month.","The process of pushing the accounts from G2Crowd to an automated advertising campaign via social and programmatic channels is done with CSV files, but it's solvable using Zapier. Would be happy to see an integration between the two solutions, as well as others (e.g. outreach.io)","G2Crowd Buyer Intent Signals Created Pipeline for us Metadata has experienced phenomenal success with buyer intent data from G2Crowd. The way we operationalize the data is two ways:



1 - Outbound emailing particular personas within accounts visiting our page/category section, using the attributes provided by G2Crowd as a way to personalize the email.



2 - Execute account-based advertising campaigns (using metadata.io), targeting the right personas within those exact accounts with personalized content.



Within the first month of running these operations, metadata.io has generated a clear ROI for our investment that revived a lost opportunity into CLOSED WON opportunity, closed an additional new new deal (6-figure deal), and generated dozens of opt-in leads/conversions from those accounts visiting our category page, our competitors page or our own page on G2Crowd. All from the first month. The process of pushing the accounts from G2Crowd to an automated advertising campaign via social and programmatic channels is done with CSV files, but it's solvable using Zapier. Would be happy to see an integration between the two solutions, as well as others (e.g. outreach.io)",['Customer Satisfaction and Product Benefits']
"Good, but little presence within Australia",3.5,"Great gift card review scheme, the customer service and implementation was smooth and very prompt.","Very little traffic within Australia/NZ. Not seeing ROI, yet.","Good, but little presence within Australia Great gift card review scheme, the customer service and implementation was smooth and very prompt. Very little traffic within Australia/NZ. Not seeing ROI, yet.",['Customer Satisfaction and User Experience']
"Great service, intuitive product!",4,"Firstly the team (of those I have been introduced to), have been super pleasant and helpful - and have make the onboarding process nice and easy, as well as getting us started ASAP with the reviews campaigns, as well as catering to the time difference!

The tool is very cool, with some of my favorites features for marketing being the reviews widgets, and the analytics of our profile.

From a sales perspective, the buyer intent features are extremely useful for our outbound sales strategy!","Although I understand there's a lot of features to cram in (there's no denying there's lots of cool things) I have found the interface a little unfriendly/buggy at times, however the latest layout is a big improvement - a tour/new tool guide would have been nice tho ;)","Great service, intuitive product! Firstly the team (of those I have been introduced to), have been super pleasant and helpful - and have make the onboarding process nice and easy, as well as getting us started ASAP with the reviews campaigns, as well as catering to the time difference!

The tool is very cool, with some of my favorites features for marketing being the reviews widgets, and the analytics of our profile.

From a sales perspective, the buyer intent features are extremely useful for our outbound sales strategy! Although I understand there's a lot of features to cram in (there's no denying there's lots of cool things) I have found the interface a little unfriendly/buggy at times, however the latest layout is a big improvement - a tour/new tool guide would have been nice tho ;)",['User Experience and Customer Satisfaction']
